Date,Open,High,Low,Close,Adj Close,Volume
3/11/2020,69.347504,70.305,67.964996,68.857498,68.548012,255598800
3/12/2020,63.985001,67.5,62,62.057499,61.77858,418474000
3/13/2020,66.222504,69.980003,63.237499,69.4925,69.180161,370732000
3/16/2020,60.487499,64.769997,60,60.552502,60.280346,322423600
3/17/2020,61.877499,64.402496,59.599998,63.215,62.930878,324056000
3/18/2020,59.942501,62.5,59.279999,61.6675,61.390331,300233600
3/19/2020,61.8475,63.209999,60.6525,61.195,60.919952,271857200
3/20/2020,61.794998,62.9575,,57.310001,57.052418,401693200
3/23/2020,57.02,57.125,53.1525,56.092499,55.840385,336752800
3/24/2020,59.09,61.922501,58.575001,61.720001,61.442596,287531200
3/25/2020,62.6875,64.5625,61.075001,61.380001,61.104122,303602000
3/26/2020,61.630001,64.669998,61.59,64.610001,64.319611,252087200
3/27/2020,63.1875,63.967499,61.762501,61.935001,61.656628,204216800
3/30/2020,,63.880001,62.349998,63.702499,63.416183,167976400
3/31/2020,63.900002,65.622498,63,63.572498,63.28677,197002000
4/1/2020,61.625,62.18,59.782501,60.227501,59.956806,176218400
4/2/2020,60.084999,61.287498,59.224998,61.232498,60.957287,165934000
4/3/2020,60.700001,61.424999,59.7425,60.352501,60.081242,32470000
4/6/2020,62.724998,65.777496,62.345001,65.6175,65.322578,50455100
4/7/2020,67.699997,67.925003,64.75,64.857498,64.565994,50721800
4/8/2020,65.684998,66.842499,65.307503,66.517502,66.218536,42223800
4/9/2020,67.175003,67.517502,66.175003,66.997498,66.696373,40529100
4/13/2020,67.077499,68.425003,66.457497,68.3125,68.00547,32755700
4/14/2020,70,72.0625,69.512497,71.762497,71.439957,48748700
4/15/2020,70.599998,71.582497,70.157501,71.107498,70.787903,32788600
4/16/2020,71.845001,72.050003,70.587502,71.672501,71.350365,38845800
4/17/2020,71.172501,71.737503,69.214996,70.699997,70.382233,215250000
4/20/2020,69.487503,70.419998,69.212502,69.232498,68.921326,130015200
4/21/2020,69.07,69.3125,66.357498,67.092499,66.790947,180991600
4/22/2020,68.402496,,68.050003,69.025002,68.71476,117057200
4/23/2020,68.967499,70.4375,68.717499,68.7575,68.448463,124814400
4/24/2020,69.300003,70.752502,69.25,70.7425,70.424545,126508800
4/27/2020,70.449997,71.135002,69.987503,70.792503,70.474319,117087600
4/28/2020,71.269997,71.457497,69.550003,69.644997,69.33197,112004800
4/29/2020,71.182503,72.417503,70.972504,71.932503,71.6092,137280800
4/30/2020,72.489998,73.6325,72.087502,73.449997,73.119873,183064000
5/1/2020,71.5625,74.75,71.462502,72.267502,71.942688,240616800
5/4/2020,72.292503,73.422501,71.580002,73.290001,72.960594,133568000
5/5/2020,73.764999,75.25,73.614998,74.389999,74.055649,147751200
5/6/2020,75.114998,75.809998,74.717499,75.157501,74.819695,142333600
5/7/2020,75.805,76.292503,75.4925,75.934998,75.593697,115215200
5/8/2020,76.410004,77.587502,76.072502,,77.39296,134048000
5/11/2020,77.025002,79.262497,76.809998,78.752502,78.610764,145946400
5/12/2020,79.457497,79.922501,77.727501,77.852501,77.712387,162301200
5/13/2020,78.037498,78.987503,75.802498,76.912498,76.774071,200622400
5/14/2020,76.127502,77.447502,75.3825,77.385002,77.245728,158929200
5/15/2020,75.087502,76.974998,75.052498,76.927498,76.789047,166348400
5/18/2020,78.292503,79.125,77.580002,78.739998,78.598282,135372400
5/19/2020,78.7575,79.629997,78.252502,78.285004,78.144112,101729600
5/20/2020,79.169998,79.879997,79.129997,79.807503,79.663872,111504800
5/21/2020,79.665001,80.222504,78.967499,79.212502,79.069939,102688800
5/22/2020,78.942497,79.807503,78.837502,79.722504,79.579025,81803200
5/26/2020,80.875,81.059998,79.125,79.182503,79.039993,125522000
5/27/2020,79.035004,79.677498,78.272499,79.527496,79.384369,112945200
5/28/2020,79.192497,80.860001,78.907501,79.5625,79.419304,133560800
5/29/2020,79.8125,80.287498,79.1175,79.485001,79.341949,153598000
